League,Team,Player,Recent_Matches,Recent_Minutes,Recent_Goals,Recent_Assists,Recent_Yellow_Cards,Recent_Red_Cards,Recent_xG,Recent_xA,Recent_Shots,Recent_Shots_On_Target,Recent_Passes_Completed,Recent_Tackles,Recent_Interceptions,Recent_Fouls
Premier League,Chelsea,Samuel Rak-Sakyi,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Chelsea,Ishé Samuels-Smith,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Nott'ham Forest,Matz Sels,35,3150,0,0,4,0,0.0,0.0,0,0,0,1,0,1
Premier League,Nott'ham Forest,Nikola Milenković,34,3060,4,2,4,0,3.6,0.0,0,0,0,26,25,18
Premier League,Nott'ham Forest,Murillo,34,3008,2,0,5,0,1.4,0.0,0,0,0,36,32,25
Premier League,Nott'ham Forest,Ola Aina,32,2733,2,1,3,0,0.6,0.0,0,0,0,41,31,21
Premier League,Nott'ham Forest,Chris Wood,33,2689,19,3,1,0,11.7,0.0,0,0,0,4,5,24
Premier League,Nott'ham Forest,Morgan Gibbs-White,31,2541,5,7,11,1,4.7,0.0,0,0,0,19,20,34
Premier League,Nott'ham Forest,Elliot Anderson,34,2467,2,6,7,0,1.9,0.0,0,0,0,52,30,43
Premier League,Nott'ham Forest,Anthony Elanga,35,2232,6,9,1,0,4.2,0.0,0,0,0,13,6,8
Premier League,Nott'ham Forest,Neco Williams,32,2324,1,3,7,0,2.3,0.0,0,0,0,45,25,23
Premier League,Nott'ham Forest,Callum Hudson-Odoi,29,2152,5,2,2,0,2.5,0.0,0,0,0,14,13,12
Premier League,Nott'ham Forest,Nicolás Domínguez,31,1734,0,1,9,0,1.4,0.0,0,0,0,40,27,31
Premier League,Nott'ham Forest,Ryan Yates,32,1874,2,1,10,0,2.3,0.0,0,0,0,21,26,52
Premier League,Nott'ham Forest,Álex Moreno,15,955,0,1,2,0,0.2,0.0,0,0,0,18,15,12
Premier League,Nott'ham Forest,Jota Silva,28,844,3,1,5,0,2.0,0.0,0,0,0,13,12,24
Premier League,Nott'ham Forest,Morato,24,809,0,0,3,0,0.2,0.0,0,0,0,13,10,10
Premier League,Nott'ham Forest,James Ward-Prowse,9,400,0,1,2,1,0.1,0.0,0,0,0,1,5,7
Premier League,Nott'ham Forest,Danilo,7,267,0,0,0,0,0.0,0.0,0,0,0,3,3,1
Premier League,Nott'ham Forest,Ibrahim Sangaré,10,370,0,1,3,0,0.0,0.0,0,0,0,11,3,11
Premier League,Nott'ham Forest,Taiwo Awoniyi,25,408,1,0,0,0,2.1,0.0,0,0,0,3,0,8
Premier League,Nott'ham Forest,Ramón Sosa,19,295,1,0,1,0,1.0,0.0,0,0,0,3,4,6
Premier League,Nott'ham Forest,Willy Boly,6,150,0,0,1,0,0.1,0.0,0,0,0,1,3,1
Premier League,Nott'ham Forest,Harry Toffolo,4,137,0,0,1,0,0.0,0.0,0,0,0,3,2,1
Premier League,Nott'ham Forest,Eric da Silva Moreira,2,30,0,0,0,0,0.0,0.0,0,0,0,2,1,0
Premier League,Nott'ham Forest,Zach Abbott,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Nott'ham Forest,Wayne Hennessey,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Nott'ham Forest,Carlos Miguel,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Nott'ham Forest,Andrew Omobamidele,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
Premier League,Aston Villa,Youri Tielemans,35,2997,3,7,4,0,3.1,0.0,0,0,0,57,22,41
Premier League,Aston Villa,Emiliano Martínez,34,2970,0,0,4,0,0.0,0.0,0,0,0,3,0,1
Premier League,Aston Villa,Morgan Rogers,34,2853,8,8,9,0,6.2,0.0,0,0,0,18,5,46
Premier League,Aston Villa,Ezri Konsa,31,2666,1,0,0,0,0.9,0.0,0,0,0,17,21,6
Premier League,Aston Villa,Ollie Watkins,35,2333,15,7,2,0,14.7,0.0,0,0,0,6,8,27
Premier League,Aston Villa,Lucas Digne,31,2261,0,4,4,0,0.8,0.0,0,0,0,37,25,20
Premier League,Aston Villa,John McGinn,31,2052,1,4,7,0,2.9,0.0,0,0,0,22,14,43
Premier League,Aston Villa,Pau Torres,21,1819,0,0,1,0,0.5,0.0,0,0,0,14,9,8
