League,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5
Ligue 1,1,Paris S-G,32,24,6,2,85,33,+52,78,2.44,84.0,30.0,+54.0,+1.69,W 1–0 vs Angers; W 2–1 vs Le Havre; D 1–1 vs Nantes; L 1–3 vs Nice; L 2–1 vs Strasbourg
Ligue 1,2,Marseille,32,18,5,9,67,44,+23,59,1.84,57.3,43.1,+14.2,+0.44,W 3–2 vs Toulouse; L 3–0 vs Monaco; W 5–1 vs Montpellier; W 4–1 vs Brest; D 1–1 vs Lille
Ligue 1,3,Monaco,32,17,7,8,61,37,+24,58,1.81,71.2,32.7,+38.5,+1.20,L 2–1 vs Brest; W 3–0 vs Marseille; D 0–0 vs Strasbourg; D 1–1 vs Le Havre; W 1–3 vs Saint-Étienne
Ligue 1,4,Nice,32,16,9,7,60,39,+21,57,1.78,55.7,37.6,+18.1,+0.56,L 1–2 vs Nantes; D 2–2 vs Strasbourg; W 2–1 vs Angers; W 1–3 vs Paris S-G; W 1–0 vs Reims
Ligue 1,5,Lille,32,16,9,7,50,33,+17,57,1.78,50.8,41.2,+9.6,+0.30,L 2–1 vs Lyon; W 1–2 vs Toulouse; W 3–1 vs Auxerre; W 0–2 vs Angers; D 1–1 vs Marseille
Ligue 1,6,Strasbourg,32,16,9,7,53,39,+14,57,1.78,46.7,52.9,-6.2,-0.19,W 0–1 vs Reims; D 2–2 vs Nice; D 0–0 vs Monaco; W 3–1 vs Saint-Étienne; W 2–1 vs Paris S-G
Ligue 1,7,Lyon,32,16,6,10,63,44,+19,54,1.69,56.0,44.1,+11.9,+0.37,W 2–1 vs Lille; W 1–3 vs Auxerre; L 2–1 vs Saint-Étienne; W 4–1 vs Rennes; L 1–2 vs Lens
Ligue 1,8,Lens,32,14,6,12,37,38,-1,48,1.50,49.3,43.7,+5.6,+0.18,W 1–0 vs Saint-Étienne; L 0–2 vs Reims; W 1–3 vs Brest; L 0–4 vs Auxerre; W 1–2 vs Lyon
Ligue 1,9,Brest,32,14,5,13,50,53,-3,47,1.47,43.3,50.6,-7.3,-0.23,W 2–1 vs Monaco; D 3–3 vs Saint-Étienne; L 1–3 vs Lens; L 4–1 vs Marseille; W 1–0 vs Montpellier
Ligue 1,10,Auxerre,32,11,8,13,46,47,-1,41,1.28,40.0,54.8,-14.8,-0.46,W 0–1 vs Rennes; L 1–3 vs Lyon; L 3–1 vs Lille; W 0–4 vs Lens; L 1–2 vs Le Havre
Ligue 1,11,Rennes,32,12,2,18,47,46,+1,38,1.19,45.6,41.0,+4.6,+0.14,L 0–1 vs Auxerre; W 1–5 vs Le Havre; W 2–1 vs Nantes; L 4–1 vs Lyon; L 2–1 vs Toulouse
Ligue 1,12,Toulouse,32,10,8,14,40,40,0,38,1.19,44.8,34.7,+10.1,+0.32,L 3–2 vs Marseille; L 1–2 vs Lille; L 1–0 vs Reims; D 0–0 vs Nantes; W 2–1 vs Rennes
Ligue 1,13,Reims,32,8,9,15,32,43,-11,33,1.03,35.4,54.7,-19.2,-0.60,L 0–1 vs Strasbourg; W 0–2 vs Lens; W 1–0 vs Toulouse; D 0–0 vs Montpellier; L 1–0 vs Nice
Ligue 1,14,Angers,32,9,6,17,30,50,-20,33,1.03,34.8,52.9,-18.1,-0.56,L 1–0 vs Paris S-G; W 2–0 vs Montpellier; L 2–1 vs Nice; L 0–2 vs Lille; W 0–1 vs Nantes
Ligue 1,15,Nantes,32,7,11,14,35,51,-16,32,1.00,36.0,54.4,-18.4,-0.57,W 1–2 vs Nice; L 2–1 vs Rennes; D 1–1 vs Paris S-G; D 0–0 vs Toulouse; L 0–1 vs Angers
Ligue 1,16,Le Havre,32,9,4,19,36,66,-30,31,0.97,38.0,58.7,-20.7,-0.65,W 0–2 vs Montpellier; L 1–5 vs Rennes; L 2–1 vs Paris S-G; D 1–1 vs Monaco; W 1–2 vs Auxerre
Ligue 1,17,Saint-Étienne,31,6,6,19,33,74,-41,24,0.77,34.4,69.2,-34.9,-1.12,L 1–0 vs Lens; D 3–3 vs Brest; W 2–1 vs Lyon; L 3–1 vs Strasbourg; L 1–3 vs Monaco
Ligue 1,18,Montpellier,31,4,4,23,22,70,-48,16,0.52,32.1,59.1,-27.0,-0.87,L 0–2 vs Le Havre; L 2–0 vs Angers; L 5–1 vs Marseille; D 0–0 vs Reims; L 1–0 vs Brest
Bundesliga,1,Bayern Munich,32,23,7,2,93,32,+61,76,2.38,77.8,23.5,+54.3,+1.70,W 1–3 vs Augsburg; D 2–2 vs Dortmund; W 0–4 vs Heidenheim; W 3–0 vs Mainz 05; D 3–3 vs RB Leipzig
Bundesliga,2,Leverkusen,32,19,11,2,68,37,+31,68,2.13,53.5,32.0,+21.5,+0.67,W 0–1 vs Heidenheim; D 0–0 vs Union Berlin; D 1–1 vs St. Pauli; W 2–0 vs Augsburg; D 2–2 vs Freiburg
Bundesliga,3,Eint Frankfurt,32,16,8,8,63,43,+20,56,1.75,61.5,46.5,+14.9,+0.47,L 2–0 vs Werder Bremen; W 3–0 vs Heidenheim; D 0–0 vs Augsburg; W 4–0 vs RB Leipzig; D 1–1 vs Mainz 05
Bundesliga,4,Freiburg,32,15,7,10,46,49,-3,52,1.63,42.1,39.5,+2.6,+0.08,L 1–4 vs Dortmund; W 1–2 vs Gladbach; W 3–2 vs Hoffenheim; W 0–1 vs Wolfsburg; D 2–2 vs Leverkusen
Bundesliga,5,Dortmund,32,15,6,11,64,49,+15,51,1.59,57.6,39.8,+17.7,+0.55,W 1–4 vs Freiburg; D 2–2 vs Bayern Munich; W 3–2 vs Gladbach; W 2–3 vs Hoffenheim; W 4–0 vs Wolfsburg
Bundesliga,6,RB Leipzig,32,13,11,8,51,45,+6,50,1.56,43.8,48.7,-5.0,-0.16,W 3–1 vs Hoffenheim; W 2–3 vs Wolfsburg; D 1–1 vs Holstein Kiel; L 4–0 vs Eint Frankfurt; D 3–3 vs Bayern Munich
Bundesliga,7,Mainz 05,32,13,9,10,49,40,+9,48,1.50,45.6,46.0,-0.4,-0.01,D 1–1 vs Holstein Kiel; L 2–0 vs Hoffenheim; D 2–2 vs Wolfsburg; L 3–0 vs Bayern Munich; D 1–1 vs Eint Frankfurt
Bundesliga,8,Werder Bremen,32,13,8,11,50,56,-6,47,1.47,44.9,44.8,0.0,0.00,W 2–0 vs Eint Frankfurt; W 1–2 vs Stuttgart; W 1–0 vs Bochum; D 0–0 vs St. Pauli; D 2–2 vs Union Berlin
Bundesliga,9,Gladbach,32,13,6,13,55,54,+1,45,1.41,48.0,59.2,-11.2,-0.35,D 1–1 vs St. Pauli; L 1–2 vs Freiburg; L 3–2 vs Dortmund; L 4–3 vs Holstein Kiel; D 4–4 vs Hoffenheim
Bundesliga,10,Stuttgart,32,12,8,12,57,51,+6,44,1.38,55.9,45.3,+10.6,+0.33,W 0–4 vs Bochum; L 1–2 vs Werder Bremen; D 4–4 vs Union Berlin; L 0–1 vs Heidenheim; W 0–1 vs St. Pauli
Bundesliga,11,Augsburg,32,11,10,11,34,45,-11,43,1.34,32.5,44.2,-11.7,-0.37,L 1–3 vs Bayern Munich; W 1–2 vs Bochum; D 0–0 vs Eint Frankfurt; L 2–0 vs Leverkusen; L 1–3 vs Holstein Kiel
Bundesliga,12,Wolfsburg,32,10,9,13,53,52,+1,39,1.22,44.9,50.2,-5.3,-0.17,L 1–0 vs Union Berlin; L 2–3 vs RB Leipzig; D 2–2 vs Mainz 05; L 0–1 vs Freiburg; L 4–0 vs Dortmund
Bundesliga,13,Union Berlin,32,9,10,13,33,47,-14,37,1.16,35.8,45.0,-9.2,-0.29,W 1–0 vs Wolfsburg; D 0–0 vs Leverkusen; D 4–4 vs Stuttgart; D 1–1 vs Bochum; D 2–2 vs Werder Bremen
Bundesliga,14,St. Pauli,32,8,7,17,26,37,-11,31,0.97,33.7,42.4,-8.6,-0.27,D 1–1 vs Gladbach; W 1–2 vs Holstein Kiel; D 1–1 vs Leverkusen; D 0–0 vs Werder Bremen; L 0–1 vs Stuttgart
Bundesliga,15,Hoffenheim,32,7,10,15,44,62,-18,31,0.97,40.9,53.4,-12.5,-0.39,L 3–1 vs RB Leipzig; W 2–0 vs Mainz 05; L 3–2 vs Freiburg; L 2–3 vs Dortmund; D 4–4 vs Gladbach
Bundesliga,16,Heidenheim,32,7,5,20,33,60,-27,26,0.81,37.6,55.0,-17.4,-0.54,L 0–1 vs Leverkusen; L 3–0 vs Eint Frankfurt; L 0–4 vs Bayern Munich; W 0–1 vs Stuttgart; D 0–0 vs Bochum
Bundesliga,17,Holstein Kiel,32,6,7,19,48,75,-27,25,0.78,38.1,57.1,-19.1,-0.60,D 1–1 vs Mainz 05; L 1–2 vs St. Pauli; D 1–1 vs RB Leipzig; W 4–3 vs Gladbach; W 1–3 vs Augsburg
Bundesliga,18,Bochum,32,5,7,20,30,63,-33,22,0.69,39.6,60.9,-21.3,-0.67,L 0–4 vs Stuttgart; L 1–2 vs Augsburg; L 1–0 vs Werder Bremen; D 1–1 vs Union Berlin; D 0–0 vs Heidenheim
