League;Team;Player;Player_URL;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR
Premier League;Newcastle Utd;Lewis Miley;https://fbref.com/en/players/2c6835e5/Lewis-Miley;;MF;19;12;1;249;2.8;1;0;1;1;0;0;0;0
Premier League;Newcastle Utd;Miguel Almirón;https://fbref.com/en/players/862a1c15/Miguel-Almiron;;FW;31;9;1;157;1.7;0;0;0;0;0;0;0;0
Premier League;Newcastle Utd;William Osula;https://fbref.com/en/players/7b355808/William-Osula;;FW;21;12;0;104;1.2;1;0;1;1;0;0;0;0
Premier League;Newcastle Utd;Matt Targett;https://fbref.com/en/players/e514ab62/Matt-Targett;;DF;29;2;0;21;0.2;0;0;0;0;0;0;0;0
Premier League;Newcastle Utd;Alex Murphy;https://fbref.com/en/players/f1c42eb3/Alex-Murphy;;DF;20;0;0;;;;;;;;;;
Premier League;Newcastle Utd;Sean Neave;https://fbref.com/en/players/ff392864/Sean-Neave;;FW;17;0;0;;;;;;;;;;
Premier League;Newcastle Utd;John Ruddy;https://fbref.com/en/players/da8b19e2/John-Ruddy;;GK;38;0;0;;;;;;;;;;
Premier League;Newcastle Utd;Leo Shahar;https://fbref.com/en/players/5536f008/Leo-Shahar;;DF;18;0;0;;;;;;;;;;
Premier League;Newcastle Utd;Odisseas Vlachodimos;https://fbref.com/en/players/03df04ff/Odisseas-Vlachodimos;;GK;31;0;0;;;;;;;;;;
Premier League;Chelsea;Moisés Caicedo;https://fbref.com/en/players/16264a81/Moises-Caicedo;;MF,DF;23;35;35;3,081;34.2;1;2;3;1;0;0;10;0
Premier League;Chelsea;Cole Palmer;https://fbref.com/en/players/dc7f8a28/Cole-Palmer;;MF;23;34;33;2,921;32.5;15;8;23;11;4;5;6;0
Premier League;Chelsea;Levi Colwill;https://fbref.com/en/players/700783e7/Levi-Colwill;;DF;22;32;32;2,879;32.0;1;1;2;1;0;0;8;0
Premier League;Chelsea;Marc Cucurella;https://fbref.com/en/players/1daec722/Marc-Cucurella;;DF;26;33;30;2,718;30.2;4;1;5;4;0;0;10;1
Premier League;Chelsea;Enzo Fernández;https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez;;MF;24;33;29;2,677;29.7;6;7;13;6;0;0;7;0
Premier League;Chelsea;Robert Sánchez;https://fbref.com/en/players/6a713852/Robert-Sanchez;;GK;27;29;29;2,61;29.0;0;0;0;0;0;0;5;0
Premier League;Chelsea;Nicolas Jackson;https://fbref.com/en/players/9c36ed83/Nicolas-Jackson;;FW;23;29;27;2,185;24.3;10;5;15;10;0;0;7;0
Premier League;Chelsea;Noni Madueke;https://fbref.com/en/players/bf34eebd/Noni-Madueke;;FW;23;29;24;1,813;20.1;7;3;10;7;0;0;3;0
Premier League;Chelsea;Pedro Neto;https://fbref.com/en/players/7ba2eaa9/Pedro-Neto;;FW;25;32;21;2,013;22.4;4;5;9;4;0;0;8;0
Premier League;Chelsea;Malo Gusto;https://fbref.com/en/players/d56b9520/Malo-Gusto;;DF;21;29;19;1,832;20.4;0;1;1;0;0;0;4;0
Premier League;Chelsea;Jadon Sancho;https://fbref.com/en/players/dbf053da/Jadon-Sancho;;FW;25;29;18;1,687;18.7;3;4;7;3;0;0;2;0
Premier League;Chelsea;Wesley Fofana;https://fbref.com/en/players/132a82f1/Wesley-Fofana;;DF;24;14;14;1,172;13.0;0;0;0;0;0;0;7;0
Premier League;Chelsea;Tosin Adarabioyo;https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo;;DF;27;20;13;1,229;13.7;1;1;2;1;0;0;3;0
Premier League;Chelsea;Reece James;https://fbref.com/en/players/1265a93a/Reece-James;;DF,MF;25;16;10;838;9.3;1;0;1;1;0;0;1;0
Premier League;Chelsea;Trevoh Chalobah;https://fbref.com/en/players/5515376c/Trevoh-Chalobah;;DF;25;12;10;836;9.3;0;1;1;0;0;0;2;0
Premier League;Chelsea;Roméo Lavia;https://fbref.com/en/players/ecad9aa5/Romeo-Lavia;;MF;21;13;10;684;7.6;0;1;1;0;0;0;4;0
Premier League;Chelsea;Christopher Nkunku;https://fbref.com/en/players/7c56da38/Christopher-Nkunku;;FW;27;27;9;921;10.2;3;2;5;3;0;0;2;0
Premier League;Chelsea;Filip Jørgensen;https://fbref.com/en/players/0107757e/Filip-Jorgensen;;GK;23;6;6;540;6.0;0;0;0;0;0;0;0;0
Premier League;Chelsea;Axel Disasi;https://fbref.com/en/players/ad82197c/Axel-Disasi;;DF;27;6;4;364;4.0;1;0;1;1;0;0;1;0
Premier League;Chelsea;João Félix;https://fbref.com/en/players/8aafd64f/Joao-Felix;;FW,MF;25;12;3;369;4.1;1;1;2;1;0;0;2;0
Premier League;Chelsea;Benoît Badiashile;https://fbref.com/en/players/06df8256/Benoit-Badiashile;;DF;24;5;3;334;3.7;0;0;0;0;0;0;0;0
Premier League;Chelsea;Kiernan Dewsbury-Hall;https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall;;MF,FW;26;12;2;259;2.9;0;1;1;0;0;0;0;0
Premier League;Chelsea;Joshua Acheampong;https://fbref.com/en/players/b7e62e1d/Joshua-Acheampong;;DF;19;4;2;170;1.9;0;0;0;0;0;0;1;0
Premier League;Chelsea;Renato Veiga;https://fbref.com/en/players/fc8fcbd1/Renato-Veiga;;DF,MF;21;7;1;181;2.0;0;0;0;0;0;0;2;0
Premier League;Chelsea;Mykhailo Mudryk;https://fbref.com/en/players/049a888d/Mykhailo-Mudryk;;FW;24;7;1;151;1.7;0;0;0;0;0;0;0;0
Premier League;Chelsea;Tyrique George;https://fbref.com/en/players/e6f7797e/Tyrique-George;;FW;19;7;0;103;1.1;1;1;2;1;0;0;1;0
Premier League;Chelsea;Marc Guiu;https://fbref.com/en/players/d3d774cc/Marc-Guiu;;FW;19;3;0;73;0.8;0;0;0;0;0;0;0;0
Premier League;Chelsea;Mathis Amougou;https://fbref.com/en/players/f93cca97/Mathis-Amougou;;MF;19;1;0;8;0.1;0;0;0;0;0;0;0;0
Premier League;Chelsea;Shumaira Mheuka;https://fbref.com/en/players/43d0b694/Shumaira-Mheuka;;MF;17;1;0;1;0.0;0;0;0;0;0;0;0;0
Premier League;Chelsea;Aaron Anselmino;https://fbref.com/en/players/1d87670e/Aaron-Anselmino;;DF;20;0;0;;;;;;;;;;
Premier League;Chelsea;Genesis Antwi;https://fbref.com/en/players/aaa96db5/Genesis-Antwi;;MF;17;0;0;;;;;;;;;;
Premier League;Chelsea;Marcus Bettinelli;https://fbref.com/en/players/0d85a4e8/Marcus-Bettinelli;;GK;32;0;0;;;;;;;;;;
Premier League;Chelsea;Cesare Casadei;https://fbref.com/en/players/fb920f3a/Cesare-Casadei;;MF;22;0;0;;;;;;;;;;
Premier League;Chelsea;Samuel Rak-Sakyi;https://fbref.com/en/players/301ba71e/Samuel-Rak-Sakyi;;MF;20;0;0;;;;;;;;;;
Premier League;Chelsea;Ishé Samuels-Smith;https://fbref.com/en/players/da95fde0/Ishe-Samuels-Smith;;DF;18;0;0;;;;;;;;;;
Premier League;Nott'ham Forest;Matz Sels;https://fbref.com/en/players/834b5c4c/Matz-Sels;;GK;33;35;35;3,15;35.0;0;0;0;0;0;0;4;0
Premier League;Nott'ham Forest;Nikola Milenković;https://fbref.com/en/players/bee704fc/Nikola-Milenkovic;;DF;27;34;34;3,06;34.0;4;2;6;4;0;0;4;0
Premier League;Nott'ham Forest;Murillo;https://fbref.com/en/players/1704b0b8/Murillo;;DF;22;34;34;3,008;33.4;2;0;2;2;0;0;5;0
Premier League;Nott'ham Forest;Ola Aina;https://fbref.com/en/players/246d153b/Ola-Aina;;DF;28;32;32;2,733;30.4;2;1;3;2;0;0;3;0
Premier League;Nott'ham Forest;Chris Wood;https://fbref.com/en/players/4e9a0555/Chris-Wood;;FW;33;33;32;2,689;29.9;19;3;22;16;3;3;1;0
